,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-99.9999951119808,0.0,0.2775665399239543,263,0.0076045627376425,3.0,1.0,1.0,BB,,
1,1,-99.9992888310491,0.0,0.2719298245614035,228,0.0087719298245614,3.0,1.0,1.2,BB,,
2,2,-90.79176476856728,0.0,0.3164556962025316,79,0.0886075949367088,3.0,1.0,1.4,BB,,
3,3,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.0,1.6,BB,,
4,4,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.0,1.7999999999999998,BB,,
5,5,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.0,2.0,BB,,
6,6,-99.9999951119808,0.0,0.2775665399239543,263,0.0076045627376425,3.0,1.2,1.0,BB,,
7,7,-99.9992888310491,0.0,0.2719298245614035,228,0.0087719298245614,3.0,1.2,1.2,BB,,
8,8,-90.79176476856728,0.0,0.3164556962025316,79,0.0886075949367088,3.0,1.2,1.4,BB,,
9,9,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.2,1.6,BB,,
10,10,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.2,1.7999999999999998,BB,,
11,11,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.2,2.0,BB,,
12,12,-99.9999951119808,0.0,0.2775665399239543,263,0.0076045627376425,3.0,1.4,1.0,BB,,
13,13,-99.9992888310491,0.0,0.2719298245614035,228,0.0087719298245614,3.0,1.4,1.2,BB,,
14,14,-90.79176476856728,0.0,0.3164556962025316,79,0.0886075949367088,3.0,1.4,1.4,BB,,
15,15,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.4,1.6,BB,,
16,16,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.4,1.7999999999999998,BB,,
17,17,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.4,2.0,BB,,
18,18,-99.9999951119808,0.0,0.2775665399239543,263,0.0076045627376425,3.0,1.6,1.0,BB,,
19,19,-99.9992888310491,0.0,0.2719298245614035,228,0.0087719298245614,3.0,1.6,1.2,BB,,
20,20,-90.79176476856728,0.0,0.3164556962025316,79,0.0886075949367088,3.0,1.6,1.4,BB,,
21,21,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.6,1.6,BB,,
22,22,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.6,1.7999999999999998,BB,,
23,23,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.6,2.0,BB,,
24,24,-99.9999951119808,0.0,0.2775665399239543,263,0.0076045627376425,3.0,1.7999999999999998,1.0,BB,,
25,25,-99.9992888310491,0.0,0.2719298245614035,228,0.0087719298245614,3.0,1.7999999999999998,1.2,BB,,
26,26,-90.79176476856728,0.0,0.3164556962025316,79,0.0886075949367088,3.0,1.7999999999999998,1.4,BB,,
27,27,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.7999999999999998,1.6,BB,,
28,28,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.7999999999999998,1.7999999999999998,BB,,
29,29,2.5483031221495533,0.0,1.0,2,1.0,3.0,1.7999999999999998,2.0,BB,,
30,30,-99.9999951119808,0.0,0.2775665399239543,263,0.0076045627376425,3.0,2.0,1.0,BB,,
