,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-96.33862820406064,0.0,0.45703125,256,0.00390625,3.0,1.0,1.0,BB,,
1,1,-95.45770231077977,0.0,0.4229074889867841,227,0.0044052863436123,3.0,1.0,1.2,BB,,
2,2,-44.35977938488575,0.0,0.4712643678160919,87,0.0114942528735632,3.0,1.0,1.4,BB,,
3,3,4.772557564025703,0.0,1.0,3,1.0,3.0,1.0,1.6,BB,,
4,4,4.772557564025703,0.0,1.0,3,1.0,3.0,1.0,1.7999999999999998,BB,,
5,5,4.772557564025703,0.0,1.0,3,1.0,3.0,1.0,2.0,BB,,
6,6,-96.33862820406064,0.0,0.45703125,256,0.00390625,3.0,1.2,1.0,BB,,
7,7,-95.45770231077977,0.0,0.4229074889867841,227,0.0044052863436123,3.0,1.2,1.2,BB,,
8,8,-44.35977938488575,0.0,0.4712643678160919,87,0.0114942528735632,3.0,1.2,1.4,BB,,
9,9,4.772557564025703,0.0,1.0,3,1.0,3.0,1.2,1.6,BB,,
10,10,4.772557564025703,0.0,1.0,3,1.0,3.0,1.2,1.7999999999999998,BB,,
11,11,4.772557564025703,0.0,1.0,3,1.0,3.0,1.2,2.0,BB,,
12,12,-96.33862820406064,0.0,0.45703125,256,0.00390625,3.0,1.4,1.0,BB,,
13,13,-95.45770231077977,0.0,0.4229074889867841,227,0.0044052863436123,3.0,1.4,1.2,BB,,
14,14,-44.35977938488575,0.0,0.4712643678160919,87,0.0114942528735632,3.0,1.4,1.4,BB,,
15,15,4.772557564025703,0.0,1.0,3,1.0,3.0,1.4,1.6,BB,,
16,16,4.772557564025703,0.0,1.0,3,1.0,3.0,1.4,1.7999999999999998,BB,,
17,17,4.772557564025703,0.0,1.0,3,1.0,3.0,1.4,2.0,BB,,
18,18,-96.33862820406064,0.0,0.45703125,256,0.00390625,3.0,1.6,1.0,BB,,
19,19,-95.45770231077977,0.0,0.4229074889867841,227,0.0044052863436123,3.0,1.6,1.2,BB,,
20,20,-44.35977938488575,0.0,0.4712643678160919,87,0.0114942528735632,3.0,1.6,1.4,BB,,
21,21,4.772557564025703,0.0,1.0,3,1.0,3.0,1.6,1.6,BB,,
22,22,4.772557564025703,0.0,1.0,3,1.0,3.0,1.6,1.7999999999999998,BB,,
23,23,4.772557564025703,0.0,1.0,3,1.0,3.0,1.6,2.0,BB,,
24,24,-96.33862820406064,0.0,0.45703125,256,0.00390625,3.0,1.7999999999999998,1.0,BB,,
25,25,-95.45770231077977,0.0,0.4229074889867841,227,0.0044052863436123,3.0,1.7999999999999998,1.2,BB,,
26,26,-44.35977938488575,0.0,0.4712643678160919,87,0.0114942528735632,3.0,1.7999999999999998,1.4,BB,,
27,27,4.772557564025703,0.0,1.0,3,1.0,3.0,1.7999999999999998,1.6,BB,,
28,28,4.772557564025703,0.0,1.0,3,1.0,3.0,1.7999999999999998,1.7999999999999998,BB,,
29,29,4.772557564025703,0.0,1.0,3,1.0,3.0,1.7999999999999998,2.0,BB,,
30,30,-96.33862820406064,0.0,0.45703125,256,0.00390625,3.0,2.0,1.0,BB,,
31,31,-95.45770231077977,0.0,0.4229074889867841,227,0.0044052863436123,3.0,2.0,1.2,BB,,
32,32,-44.35977938488575,0.0,0.4712643678160919,87,0.0114942528735632,3.0,2.0,1.4,BB,,
33,33,4.772557564025703,0.0,1.0,3,1.0,3.0,2.0,1.6,BB,,
34,34,4.772557564025703,0.0,1.0,3,1.0,3.0,2.0,1.7999999999999998,BB,,
35,35,4.772557564025703,0.0,1.0,3,1.0,3.0,2.0,2.0,BB,,
36,36,-92.8538773356754,0.0,0.4427860696517413,201,0.0099502487562189,4.0,1.0,1.0,BB,,
37,37,-90.9984567511036,0.0,0.4673913043478261,184,0.0054347826086956,4.0,1.0,1.2,BB,,
38,38,-87.48907244507427,0.0,0.4539473684210526,152,0.006578947368421,4.0,1.0,1.4,BB,,
39,39,-59.80308810011974,0.0,0.4375,80,0.0875,4.0,1.0,1.6,BB,,
40,40,0.0,0.0,0.0,0,0.0,4.0,1.0,1.7999999999999998,BB,,
41,41,0.0,0.0,0.0,0,0.0,4.0,1.0,2.0,BB,,
42,42,-92.8538773356754,0.0,0.4427860696517413,201,0.0099502487562189,4.0,1.2,1.0,BB,,
43,43,-90.9984567511036,0.0,0.4673913043478261,184,0.0054347826086956,4.0,1.2,1.2,BB,,
44,44,-87.48907244507427,0.0,0.4539473684210526,152,0.006578947368421,4.0,1.2,1.4,BB,,
45,45,-59.80308810011974,0.0,0.4375,80,0.0875,4.0,1.2,1.6,BB,,
46,46,0.0,0.0,0.0,0,0.0,4.0,1.2,1.7999999999999998,BB,,
