,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-98.81551457676328,0.0,0.3786764705882353,272,0.0147058823529411,3.0,1.0,1.0,BB,,
1,1,-97.98487639994508,0.0,0.3708333333333333,240,0.0166666666666666,3.0,1.0,1.2,BB,,
2,2,-80.92189656028094,0.0,0.4204545454545454,88,0.0113636363636363,3.0,1.0,1.4,BB,,
3,3,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.0,1.6,BB,,
4,4,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.0,1.7999999999999998,BB,,
5,5,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.0,2.0,BB,,
6,6,-98.81551457676328,0.0,0.3786764705882353,272,0.0147058823529411,3.0,1.2,1.0,BB,,
7,7,-97.98487639994508,0.0,0.3708333333333333,240,0.0166666666666666,3.0,1.2,1.2,BB,,
8,8,-80.92189656028094,0.0,0.4204545454545454,88,0.0113636363636363,3.0,1.2,1.4,BB,,
9,9,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.2,1.6,BB,,
10,10,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.2,1.7999999999999998,BB,,
11,11,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.2,2.0,BB,,
12,12,-98.81551457676328,0.0,0.3786764705882353,272,0.0147058823529411,3.0,1.4,1.0,BB,,
13,13,-97.98487639994508,0.0,0.3708333333333333,240,0.0166666666666666,3.0,1.4,1.2,BB,,
14,14,-80.92189656028094,0.0,0.4204545454545454,88,0.0113636363636363,3.0,1.4,1.4,BB,,
15,15,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.4,1.6,BB,,
16,16,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.4,1.7999999999999998,BB,,
17,17,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.4,2.0,BB,,
18,18,-98.81551457676328,0.0,0.3786764705882353,272,0.0147058823529411,3.0,1.6,1.0,BB,,
19,19,-97.98487639994508,0.0,0.3708333333333333,240,0.0166666666666666,3.0,1.6,1.2,BB,,
20,20,-80.92189656028094,0.0,0.4204545454545454,88,0.0113636363636363,3.0,1.6,1.4,BB,,
21,21,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.6,1.6,BB,,
22,22,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.6,1.7999999999999998,BB,,
23,23,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.6,2.0,BB,,
24,24,-98.81551457676328,0.0,0.3786764705882353,272,0.0147058823529411,3.0,1.7999999999999998,1.0,BB,,
25,25,-97.98487639994508,0.0,0.3708333333333333,240,0.0166666666666666,3.0,1.7999999999999998,1.2,BB,,
26,26,-80.92189656028094,0.0,0.4204545454545454,88,0.0113636363636363,3.0,1.7999999999999998,1.4,BB,,
27,27,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.7999999999999998,1.6,BB,,
28,28,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.7999999999999998,1.7999999999999998,BB,,
29,29,-0.2933020086788085,0.0,0.0,1,1.0,3.0,1.7999999999999998,2.0,BB,,
30,30,-98.81551457676328,0.0,0.3786764705882353,272,0.0147058823529411,3.0,2.0,1.0,BB,,
31,31,-97.98487639994508,0.0,0.3708333333333333,240,0.0166666666666666,3.0,2.0,1.2,BB,,
32,32,-80.92189656028094,0.0,0.4204545454545454,88,0.0113636363636363,3.0,2.0,1.4,BB,,
33,33,-0.2933020086788085,0.0,0.0,1,1.0,3.0,2.0,1.6,BB,,
34,34,-0.2933020086788085,0.0,0.0,1,1.0,3.0,2.0,1.7999999999999998,BB,,
35,35,-0.2933020086788085,0.0,0.0,1,1.0,3.0,2.0,2.0,BB,,
36,36,-98.8005039148852,0.0,0.3714285714285714,210,0.019047619047619,4.0,1.0,1.0,BB,,
37,37,-97.89002446877106,0.0,0.3641304347826087,184,0.0217391304347826,4.0,1.0,1.2,BB,,
38,38,-97.04274250075042,0.0,0.3287671232876712,146,0.0273972602739726,4.0,1.0,1.4,BB,,
39,39,-90.59291593733565,0.0,0.2777777777777778,72,0.0416666666666666,4.0,1.0,1.6,BB,,
40,40,0.0,0.0,0.0,0,0.0,4.0,1.0,1.7999999999999998,BB,,
41,41,0.0,0.0,0.0,0,0.0,4.0,1.0,2.0,BB,,
42,42,-98.8005039148852,0.0,0.3714285714285714,210,0.019047619047619,4.0,1.2,1.0,BB,,
43,43,-97.89002446877106,0.0,0.3641304347826087,184,0.0217391304347826,4.0,1.2,1.2,BB,,
44,44,-97.04274250075042,0.0,0.3287671232876712,146,0.0273972602739726,4.0,1.2,1.4,BB,,
45,45,-90.59291593733565,0.0,0.2777777777777778,72,0.0416666666666666,4.0,1.2,1.6,BB,,
46,46,0.0,0.0,0.0,0,0.0,4.0,1.2,1.7999999999999998,BB,,
47,47,0.0,0.0,0.0,0,0.0,4.0,1.2,2.0,BB,,
48,48,-98.8005039148852,0.0,0.3714285714285714,210,0.019047619047619,4.0,1.4,1.0,BB,,
49,49,-97.89002446877106,0.0,0.3641304347826087,184,0.0217391304347826,4.0,1.4,1.2,BB,,
50,50,-97.04274250075042,0.0,0.3287671232876712,146,0.0273972602739726,4.0,1.4,1.4,BB,,
51,51,-90.59291593733565,0.0,0.2777777777777778,72,0.0416666666666666,4.0,1.4,1.6,BB,,
52,52,0.0,0.0,0.0,0,0.0,4.0,1.4,1.7999999999999998,BB,,
53,53,0.0,0.0,0.0,0,0.0,4.0,1.4,2.0,BB,,
54,54,-98.8005039148852,0.0,0.3714285714285714,210,0.019047619047619,4.0,1.6,1.0,BB,,
55,55,-97.89002446877106,0.0,0.3641304347826087,184,0.0217391304347826,4.0,1.6,1.2,BB,,
56,56,-97.04274250075042,0.0,0.3287671232876712,146,0.0273972602739726,4.0,1.6,1.4,BB,,
57,57,-90.59291593733565,0.0,0.2777777777777778,72,0.0416666666666666,4.0,1.6,1.6,BB,,
58,58,0.0,0.0,0.0,0,0.0,4.0,1.6,1.7999999999999998,BB,,
59,59,0.0,0.0,0.0,0,0.0,4.0,1.6,2.0,BB,,
60,60,-98.8005039148852,0.0,0.3714285714285714,210,0.019047619047619,4.0,1.7999999999999998,1.0,BB,,
61,61,-97.89002446877106,0.0,0.3641304347826087,184,0.0217391304347826,4.0,1.7999999999999998,1.2,BB,,
62,62,-97.04274250075042,0.0,0.3287671232876712,146,0.0273972602739726,4.0,1.7999999999999998,1.4,BB,,
63,63,-90.59291593733565,0.0,0.2777777777777778,72,0.0416666666666666,4.0,1.7999999999999998,1.6,BB,,
64,64,0.0,0.0,0.0,0,0.0,4.0,1.7999999999999998,1.7999999999999998,BB,,
65,65,0.0,0.0,0.0,0,0.0,4.0,1.7999999999999998,2.0,BB,,
66,66,-98.8005039148852,0.0,0.3714285714285714,210,0.019047619047619,4.0,2.0,1.0,BB,,
