,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-92.96776300380463,0.0,0.3305084745762712,118,0.0338983050847457,3.0,1.0,1.0,BB,,
1,1,-91.38319401673463,0.0,0.3457943925233644,107,0.0373831775700934,3.0,1.0,1.2,BB,,
2,2,-48.98406436052455,0.0,0.2857142857142857,35,0.1142857142857142,3.0,1.0,1.4,BB,,
3,3,0.0,0.0,0.0,0,0.0,3.0,1.0,1.6,BB,,
4,4,0.0,0.0,0.0,0,0.0,3.0,1.0,1.7999999999999998,BB,,
5,5,0.0,0.0,0.0,0,0.0,3.0,1.0,2.0,BB,,
6,6,-92.96776300380463,0.0,0.3305084745762712,118,0.0338983050847457,3.0,1.2,1.0,BB,,
7,7,-91.38319401673463,0.0,0.3457943925233644,107,0.0373831775700934,3.0,1.2,1.2,BB,,
8,8,-48.98406436052455,0.0,0.2857142857142857,35,0.1142857142857142,3.0,1.2,1.4,BB,,
9,9,0.0,0.0,0.0,0,0.0,3.0,1.2,1.6,BB,,
10,10,0.0,0.0,0.0,0,0.0,3.0,1.2,1.7999999999999998,BB,,
11,11,0.0,0.0,0.0,0,0.0,3.0,1.2,2.0,BB,,
12,12,-92.96776300380463,0.0,0.3305084745762712,118,0.0338983050847457,3.0,1.4,1.0,BB,,
13,13,-91.38319401673463,0.0,0.3457943925233644,107,0.0373831775700934,3.0,1.4,1.2,BB,,
14,14,-48.98406436052455,0.0,0.2857142857142857,35,0.1142857142857142,3.0,1.4,1.4,BB,,
15,15,0.0,0.0,0.0,0,0.0,3.0,1.4,1.6,BB,,
16,16,0.0,0.0,0.0,0,0.0,3.0,1.4,1.7999999999999998,BB,,
17,17,0.0,0.0,0.0,0,0.0,3.0,1.4,2.0,BB,,
18,18,-92.96776300380463,0.0,0.3305084745762712,118,0.0338983050847457,3.0,1.6,1.0,BB,,
