,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-99.13225085851712,0.0,0.4236641221374045,262,0.0038167938931297,3.0,1.0,1.0,BB,,
1,1,-98.55167857163426,0.0,0.4217391304347826,230,0.0043478260869565,3.0,1.0,1.2,BB,,
2,2,-75.7301444418785,0.0,0.382716049382716,81,0.0493827160493827,3.0,1.0,1.4,BB,,
3,3,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.0,1.6,BB,,
4,4,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.0,1.7999999999999998,BB,,
5,5,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.0,2.0,BB,,
6,6,-99.13225085851712,0.0,0.4236641221374045,262,0.0038167938931297,3.0,1.2,1.0,BB,,
7,7,-98.55167857163426,0.0,0.4217391304347826,230,0.0043478260869565,3.0,1.2,1.2,BB,,
8,8,-75.7301444418785,0.0,0.382716049382716,81,0.0493827160493827,3.0,1.2,1.4,BB,,
9,9,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.2,1.6,BB,,
10,10,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.2,1.7999999999999998,BB,,
11,11,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.2,2.0,BB,,
12,12,-99.13225085851712,0.0,0.4236641221374045,262,0.0038167938931297,3.0,1.4,1.0,BB,,
13,13,-98.55167857163426,0.0,0.4217391304347826,230,0.0043478260869565,3.0,1.4,1.2,BB,,
14,14,-75.7301444418785,0.0,0.382716049382716,81,0.0493827160493827,3.0,1.4,1.4,BB,,
15,15,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.4,1.6,BB,,
16,16,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.4,1.7999999999999998,BB,,
17,17,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.4,2.0,BB,,
18,18,-99.13225085851712,0.0,0.4236641221374045,262,0.0038167938931297,3.0,1.6,1.0,BB,,
19,19,-98.55167857163426,0.0,0.4217391304347826,230,0.0043478260869565,3.0,1.6,1.2,BB,,
20,20,-75.7301444418785,0.0,0.382716049382716,81,0.0493827160493827,3.0,1.6,1.4,BB,,
21,21,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.6,1.6,BB,,
22,22,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.6,1.7999999999999998,BB,,
23,23,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.6,2.0,BB,,
24,24,-99.13225085851712,0.0,0.4236641221374045,262,0.0038167938931297,3.0,1.7999999999999998,1.0,BB,,
25,25,-98.55167857163426,0.0,0.4217391304347826,230,0.0043478260869565,3.0,1.7999999999999998,1.2,BB,,
26,26,-75.7301444418785,0.0,0.382716049382716,81,0.0493827160493827,3.0,1.7999999999999998,1.4,BB,,
27,27,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.7999999999999998,1.6,BB,,
28,28,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.7999999999999998,1.7999999999999998,BB,,
29,29,-0.3949466311623739,0.0,0.5,2,1.0,3.0,1.7999999999999998,2.0,BB,,
30,30,-99.13225085851712,0.0,0.4236641221374045,262,0.0038167938931297,3.0,2.0,1.0,BB,,
31,31,-98.55167857163426,0.0,0.4217391304347826,230,0.0043478260869565,3.0,2.0,1.2,BB,,
32,32,-75.7301444418785,0.0,0.382716049382716,81,0.0493827160493827,3.0,2.0,1.4,BB,,
33,33,-0.3949466311623739,0.0,0.5,2,1.0,3.0,2.0,1.6,BB,,
34,34,-0.3949466311623739,0.0,0.5,2,1.0,3.0,2.0,1.7999999999999998,BB,,
35,35,-0.3949466311623739,0.0,0.5,2,1.0,3.0,2.0,2.0,BB,,
36,36,-98.04526228941938,0.0,0.4010416666666667,192,0.0052083333333333,4.0,1.0,1.0,BB,,
37,37,-97.36204685024477,0.0,0.4228571428571429,175,0.0057142857142857,4.0,1.0,1.2,BB,,
38,38,-96.00326538700486,0.0,0.4026845637583892,149,0.0067114093959731,4.0,1.0,1.4,BB,,
39,39,-80.95423266613736,0.0,0.4054054054054054,74,0.054054054054054,4.0,1.0,1.6,BB,,
40,40,0.0,0.0,0.0,0,0.0,4.0,1.0,1.7999999999999998,BB,,
41,41,0.0,0.0,0.0,0,0.0,4.0,1.0,2.0,BB,,
42,42,-98.04526228941938,0.0,0.4010416666666667,192,0.0052083333333333,4.0,1.2,1.0,BB,,
43,43,-97.36204685024477,0.0,0.4228571428571429,175,0.0057142857142857,4.0,1.2,1.2,BB,,
44,44,-96.00326538700486,0.0,0.4026845637583892,149,0.0067114093959731,4.0,1.2,1.4,BB,,
