code,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude
HK.00027,2021-04-30 16:08:18,68.4,70.35,70.35,68.15,70.95,8834247,606844543.0,0.203,False,1991-10-07,1000,0.05,,N/A,N/A,N/A,N/A,True,0.0,50.0,False,,,,3.101,68.692,25.198,1.051,80.3,47.8,80.3,-4.68,68.55,0,0.0,NORMAL,True,4352164567,297688056382.8,67423733471.964,-3973526249.671,-0.913,4352164567,297688056382.80005,15.492,-0.058,-74.917,4.415,-74.917,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00175,2021-04-30 16:08:20,20.15,20.55,20.75,20.05,20.95,46156288,935038800.0,0.47,False,1973-02-23,1000,0.05,,N/A,N/A,N/A,N/A,True,0.0,40.0,False,,,,3.341,20.258,14.668,0.898,36.45,10.4,71.904,-1.172,20.2,0,0.0,NORMAL,True,9820201540,197877061031.0,75978899314.98,6608995636.42,0.673,9820201540,197877061031.0,7.737,0.086,29.94,2.604,29.94,0.235,1.17,0.235,1.166,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00241,2021-04-30 16:08:20,23.7,23.5,24.15,23.3,23.85,16464380,391568972.0,0.122,False,1972-07-06,2000,0.05,,N/A,N/A,N/A,N/A,True,0.0,55.00000000000001,True,1.07,762000.0,60.0,3.564,23.782,11.29,0.862,30.15,16.56,30.15,0.068,23.75,0,0.0,NORMAL,True,13487965042,319664771495.4,17062275778.13,-13487965.042,-0.001,13487965042,319664771495.39996,1.265,0.018,-23700.0,18.735,987.5,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00268,2021-04-30 16:08:18,25.7,25.55,25.85,25.4,25.55,7033457,180784102.0,0.203,False,2005-07-20,1000,0.05,,N/A,N/A,N/A,N/A,True,0.0,60.0,False,,,,1.761,25.703,-13.324,0.735,39.5,10.708,39.5,0.0516448,25.75,0,0.0,NORMAL,True,3469227571,89159148574.7,9276714524.854,-398961170.665,-0.115,3469227571,89159148574.7,2.674,-0.043,-223.478,9.611,-223.478,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00285,2021-04-30 16:08:20,41.35,42.5,42.95,40.8,42.75,13968653,577757104.0,0.62,False,2007-12-20,500,0.05,,N/A,N/A,N/A,N/A,True,0.0,50.0,False,,,,5.029,41.36,35.588,0.825,63.1,14.26223,63.1,0.61979,41.45,0,0.0,NORMAL,True,2253204500,93170006075.0,26452620830.0,6462190506.0,2.868,2253204500,93170006075.0,11.74,0.244,14.417,3.522,14.417,0.078,0.19,0.078,0.188,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00288,2021-04-30 16:08:20,6.79,6.89,6.9,6.76,6.97,30662342,208974765.0,0.208,False,2014-08-05,500,0.01,,N/A,N/A,N/A,N/A,True,0.0,40.0,False,,,,2.009,6.815,-9.59,0.715,7.55,5.9,9.435,2.52,6.82,0,0.0,NORMAL,True,14745670786,100123104636.94,77783413396.15,6443858133.482,0.437,14745670786,100123104636.94,5.275,0.082,15.537,1.287,15.537,0.315,4.64,0.315,4.639,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00291,2021-04-30 16:08:20,62.75,64.8,64.8,62.5,64.85,3636408,229822419.0,0.112,False,1970-01-01,2000,0.05,,N/A,N/A,N/A,N/A,True,0.0,40.0,False,,,,3.547,63.2,-14.986,0.639,78.6,35.758,78.6,-11.4485,62.55,0,0.0,NORMAL,True,3244176905,203572100788.75,25278626443.76,2494772039.945,0.769,3244176905,203572100788.75,7.792,0.098,81.599,8.053,81.599,0.192,0.31,0.183,0.291,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00341,2021-04-30 16:08:18,16.86,17.0,17.0,16.82,17.02,478000,8061520.0,0.082,False,1986-07-16,2000,0.02,,N/A,N/A,N/A,N/A,True,0.0,70.0,True,1.17,32000.0,60.0,1.058,16.865,52.06,0.264,18.3,13.42,25.96,-11.1735,16.86,0,0.0,NORMAL,True,585704033,9874969996.38,2828950479.39,73798708.158,0.126,585704033,9874969996.38,4.83,0.03,133.809,3.49,114.693,0.1,0.59,0.19,1.126,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00345,2021-04-30 16:08:20,30.05,30.7,30.7,29.95,30.55,904177,27247706.0,0.085,False,1994-03-30,2000,0.05,,N/A,N/A,N/A,N/A,True,0.0,50.0,True,1.15,28000.0,60.0,2.455,30.135,18.442,1.026,36.6,25.712,46.51,-4.640666,30.0,0,0.0,NORMAL,True,1067187500,32068984375.0,3644445312.5,535728125.0,0.502,1067187500,32068984375.0,3.415,0.185,59.86,8.799,47.547,0.321,1.07,0.321,1.068,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00347,2021-04-30 16:08:18,5.37,5.37,5.5,5.28,5.38,25767000,138579082.0,1.825,False,1997-07-24,2000,0.01,,N/A,N/A,N/A,N/A,True,0.0,50.0,False,,,,4.089,5.378,-52.28,0.874,5.57,1.708,28.784989,-0.0654615,5.35,0,0.0,NORMAL,True,9405250201,50506193579.37,65883777658.005,2341907300.049,0.249,1411540000,7579969800.0,7.005,0.057,21.566,0.766,13.259,0.062,1.15,0.062,1.154,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
