code,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude
HK.00027,2021-03-16 16:08:12,74.8,73.0,75.5,71.8,72.5,14165245,1050064689.0,0.326,False,1991-10-07,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,6.0116,24000.0,50.0,5.103,74.129,4.243,1.159,80.3,39.55,80.3,-4.68,74.95,0,0.0,NORMAL,True,4350106651,325387977494.8,67422302983.849,-3971647372.363,-0.913,4350106651,325387977494.8,15.499,-0.058,-81.927,4.826,-81.927,0.449,0.6,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00175,2021-03-16 16:08:10,23.95,23.5,24.2,23.5,23.25,46511449,1113074473.0,0.474,False,1973-02-23,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,0.981,1419000.0,50.0,3.011,23.931,-15.681,0.729,36.45,9.75,71.904,-1.172,24.05,0,0.0,NORMAL,True,9818701540,235157901883.0,67670491013.68,9013568013.72,0.918,9818701540,235157901883.0,6.892,0.104,26.089,3.475,33.125,0.235,0.98,0.235,0.981,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00241,2021-03-16 16:08:12,24.0,23.6,24.25,23.4,23.5,21155727,504243159.0,0.157,False,1972-07-06,2000,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,3.617,23.834,-6.699,0.338,30.15,11.12,30.15,0.068,23.85,0,0.0,NORMAL,True,13487076042,323689825008.0,17061151193.13,-13487076.042,-0.001,13487076042,323689825008.0,1.265,0.018,-24000.0,18.972,1000.0,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00268,2021-03-16 16:08:12,27.05,26.05,27.2,26.05,25.9,14664402,392932193.0,0.423,False,2005-07-20,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0755,234000.0,60.0,4.44,26.794,-30.511,0.599,39.5,9.518,39.5,0.0516348,27.0,0,0.0,NORMAL,True,3468762571,93830027545.55,6462304669.773,412782745.949,0.119,3468762571,93830027545.55,1.863,0.005,227.31,14.519,2459.09,0.012,0.04,0.012,0.044,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00285,2021-03-16 16:08:10,44.85,43.3,45.0,42.95,42.85,6066226,267585887.0,0.269,False,2007-12-20,500,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0625,250500.0,60.0,4.784,44.11,-45.782,0.568,63.1,10.92223,63.1,0.61979,44.85,0,0.0,NORMAL,True,2253204500,101056221825.0,21707372153.0,1748486692.0,0.776,2253204500,101056221825.0,9.634,0.178,57.796,4.655,26.03,0.078,0.17,0.078,0.173,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00288,2021-03-16 16:08:10,7.29,7.2,7.33,7.13,7.22,24253421,175672347.0,0.164,False,2014-08-05,500,0.01,,N/A,N/A,N/A,N/A,False,,,True,1.0435,294000.0,50.0,2.77,7.243,-3.926,0.569,7.685,5.615,9.435,2.52,7.27,0,0.0,NORMAL,True,14745520786,107494846529.94,70070714775.072,11354051005.22,0.77,14745520786,107494846529.94,4.752,0.134,9.467,1.534,11.426,0.315,4.32,0.315,4.32,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00291,2021-03-16 16:08:12,58.4,56.7,59.3,56.05,56.5,9094852,531400080.0,0.28,False,1970-01-01,2000,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,5.752,58.428,42.857,0.777,78.6,31.658,78.6,-11.4485,58.75,0,0.0,NORMAL,True,3244176905,189459931252.0,24214536418.92,1433926192.01,0.442,3244176905,189459931252.0,7.464,0.068,132.126,7.824,113.618,0.192,0.33,0.183,0.313,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00341,2021-03-16 16:08:10,17.66,17.8,17.82,17.58,17.66,492000,8719704.0,0.084,False,1986-07-16,2000,0.02,,N/A,N/A,N/A,N/A,False,,,True,1.1443,24000.0,60.0,1.359,17.722,-47.651,0.63,18.3,12.5,25.96,-11.1735,17.68,0,0.0,NORMAL,True,585704033,10343533222.78,2828950479.39,73798708.158,0.126,585704033,10343533222.78,4.83,0.03,140.158,3.656,120.136,0.1,0.57,0.19,1.075,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00345,2021-03-16 16:08:12,32.0,31.65,32.0,31.5,31.5,789970,25085452.0,0.074,False,1994-03-30,2000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.1283,16000.0,60.0,1.587,31.754,3.167,0.699,36.6,22.678,46.51,-4.640666,31.95,0,0.0,NORMAL,True,1065157500,34085040000.0,3644968965.0,535774222.5,0.503,1065157500,34085040000.0,3.422,0.184,63.618,9.351,50.552,0.322,1.01,0.322,1.006,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00347,2021-03-16 16:08:10,4.36,4.42,4.43,4.17,4.3,35897420,153633331.0,2.543,False,1997-07-24,2000,0.01,,N/A,N/A,N/A,N/A,False,,,True,1.127,98000.0,60.0,6.047,4.279,-3.27,1.152,4.47,1.708,28.784989,-0.0654615,4.33,0,0.0,NORMAL,True,9405250201,41006890876.36,61491525814.138,1965697292.009,0.209,1411540000,6154314400.0,6.538,0.024,20.861,0.666,27.25,0.062,1.42,0.062,1.422,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
