code,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude
HK.00027,2021-03-05 16:08:55,73.55,71.05,74.4,70.55,73.4,17654674,1292625774.0,0.406,False,1991-10-07,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,6.0407,30000.0,60.0,5.245,73.217,7.905,1.012,80.3,36.55,80.3,-4.68,73.85,0,0.0,NORMAL,True,4350106651,319950344181.05,67422302983.849,-3971647372.363,-0.913,4350106651,319950344181.05,15.499,-0.058,-80.558,4.745,-80.558,0.449,0.61,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00175,2021-03-05 16:08:56,24.35,23.75,25.05,23.1,24.65,77628222,1880831518.0,0.791,False,1973-02-23,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,0.9686,1328000.0,60.0,7.911,24.228,12.474,1.12,36.45,9.75,71.904,-1.172,24.45,0,0.0,NORMAL,True,9818701540,239085382499.0,67670491013.68,9013568013.72,0.918,9818701540,239085382499.0,6.892,0.104,26.525,3.533,33.679,0.235,0.97,0.235,0.965,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00241,2021-03-05 16:08:53,24.35,25.0,25.15,23.7,26.5,63847501,1562619074.0,0.474,False,1972-07-06,2000,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,5.472,24.474,18.816,1.418,30.15,10.8,30.15,0.068,24.35,0,0.0,NORMAL,True,13455854792,327650064185.2,17021656311.88,-13455854.792,-0.001,13455854792,327650064185.2,1.265,0.018,-24350.0,19.249,1014.583,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00268,2021-03-05 16:08:56,26.3,24.2,27.1,23.9,25.5,27612674,715657264.0,0.796,False,2005-07-20,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0265,217000.0,60.0,12.549,25.917,-27.718,0.783,39.5,8.098,39.5,0.0516348,26.4,0,0.0,NORMAL,True,3468762571,91228455617.3,6462304669.773,412782745.949,0.119,3468762571,91228455617.3,1.863,0.005,221.008,14.117,2390.909,0.012,0.05,0.012,0.045,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00285,2021-03-05 16:08:56,42.95,42.0,43.8,40.1,43.0,8385004,355929220.0,0.372,False,2007-12-20,500,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0401,224000.0,60.0,8.605,42.448,-19.73,0.822,63.1,10.32223,63.1,0.61979,42.8,0,0.0,NORMAL,True,2253204500,96775133275.0,21707372153.0,1748486692.0,0.776,2253204500,96775133275.0,9.634,0.178,55.347,4.458,24.927,0.078,0.18,0.078,0.181,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00288,2021-03-05 16:08:56,7.0,6.93,7.06,6.73,7.02,49963539,346884385.0,0.339,False,2014-08-05,500,0.01,,N/A,N/A,N/A,N/A,False,,,True,1.0549,320000.0,60.0,4.701,6.942,-20.643,0.993,7.755,5.605,9.435,2.52,7.01,0,0.0,NORMAL,True,14745520786,103218645502.0,70070714775.072,11354051005.22,0.77,14745520786,103218645502.0,4.752,0.134,9.09,1.473,10.971,0.315,4.5,0.315,4.5,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00341,2021-03-05 16:08:53,17.2,16.8,17.2,16.74,16.9,993878,16894163.0,0.17,False,1986-07-16,2000,0.02,,N/A,N/A,N/A,N/A,False,,,True,1.154,26000.0,60.0,2.722,16.998,-24.638,0.874,18.3,12.5,25.96,-11.1735,17.14,0,0.0,NORMAL,True,585704033,10074109367.6,2828950479.39,73798708.158,0.126,585704033,10074109367.6,4.83,0.03,136.507,3.561,117.006,0.1,0.58,0.19,1.104,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00345,2021-03-05 16:08:56,32.1,32.1,32.2,31.05,32.15,2162610,68663423.0,0.203,False,1994-03-30,2000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.1255,14000.0,60.0,3.577,31.75,28.959,0.96,36.6,22.678,46.51,-4.640666,32.1,0,0.0,NORMAL,True,1065157500,34191555750.0,3644968965.0,535774222.5,0.503,1065157500,34191555750.0,3.422,0.184,63.817,9.38,50.71,0.322,1.0,0.322,1.003,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00347,2021-03-05 16:08:56,3.91,3.98,4.11,3.9,4.25,43844199,174804178.0,3.106,False,1997-07-24,2000,0.01,,N/A,N/A,N/A,N/A,False,,,True,1.0943,206000.0,60.0,4.941,3.986,40.212,0.827,4.47,1.708,28.784989,-0.0654615,3.91,0,0.0,NORMAL,True,9405250201,36774528285.91,61491525814.138,1965697292.009,0.209,1411540000,5519121400.0,6.538,0.024,18.708,0.598,24.437,0.062,1.59,0.062,1.585,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00388,2021-03-05 16:08:56,479.8,473.6,488.8,465.0,483.0,9559584,4544606310.0,0.754,False,2000-06-27,100,0.2,,N/A,N/A,N/A,N/A,False,,,False,,,,4.928,475.397,21.351,0.817,587.0,202.29,587.0,-66.2,479.4,0,0.0,NORMAL,True,1267836895,608308142221.0,48918218756.68,11505619822.125,9.075,1267836895,608308142221.0,38.584,0.235,52.87,12.435,52.87,6.684,1.39,6.666,1.389,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
