code,update_time,last_price,open_price,high_price,low_price,prev_close_price,volume,turnover,turnover_rate,suspension,listing_date,lot_size,price_spread,stock_owner,ask_price,bid_price,ask_vol,bid_vol,enable_margin,mortgage_ratio,long_margin_initial_ratio,enable_short_sell,short_sell_rate,short_available_volume,short_margin_initial_ratio,amplitude,avg_price,bid_ask_ratio,volume_ratio,highest52weeks_price,lowest52weeks_price,highest_history_price,lowest_history_price,close_price_5min,after_volume,after_turnover,sec_status,equity_valid,issued_shares,total_market_val,net_asset,net_profit,earning_per_share,outstanding_shares,circular_market_val,net_asset_per_share,ey_ratio,pe_ratio,pb_ratio,pe_ttm_ratio,dividend_ttm,dividend_ratio_ttm,dividend_lfy,dividend_lfy_ratio,wrt_valid,wrt_conversion_ratio,wrt_type,wrt_strike_price,wrt_maturity_date,wrt_end_trade,wrt_recovery_price,wrt_street_vol,wrt_issue_vol,wrt_street_ratio,wrt_delta,wrt_implied_volatility,wrt_premium,wrt_leverage,wrt_ipop,wrt_break_even_point,wrt_conversion_price,wrt_price_recovery_ratio,wrt_score,wrt_upper_strike_price,wrt_lower_strike_price,wrt_inline_price_status,wrt_issuer_code,option_valid,option_type,strike_time,option_strike_price,option_contract_size,option_open_interest,option_implied_volatility,option_premium,option_delta,option_gamma,option_vega,option_theta,option_rho,option_net_open_interest,option_expiry_date_distance,option_contract_nominal_value,option_owner_lot_multiplier,option_area_type,option_contract_multiplier,index_valid,index_raise_count,index_fall_count,index_equal_count,plate_valid,plate_raise_count,plate_fall_count,plate_equal_count,future_valid,future_last_settle_price,future_position,future_position_change,future_main_contract,future_last_trade_time,trust_valid,trust_dividend_yield,trust_aum,trust_outstanding_units,trust_netAssetValue,trust_premium,trust_assetClass,pre_price,pre_high_price,pre_low_price,pre_volume,pre_turnover,pre_change_val,pre_change_rate,pre_amplitude,after_price,after_high_price,after_low_price,after_change_val,after_change_rate,after_amplitude
HK.00027,2021-03-02 16:08:13,69.2,71.2,72.2,67.95,72.45,15132435,1055955271.0,0.348,False,1991-10-07,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,6.0164,12000.0,60.0,5.866,69.78,-19.813,0.508,80.3,36.55,80.3,-4.68,68.9,0,0.0,NORMAL,True,4344518994,300640714384.8,67422590267.886,-3975234879.51,-0.915,4344518994,300640714384.8,15.519,-0.058,-75.628,4.459,-75.628,0.449,0.65,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00175,2021-03-02 16:08:13,25.95,26.3,26.9,25.65,26.05,56408654,1473384149.0,0.575,False,1973-02-23,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,0.9841,1340000.0,60.0,4.798,26.119,15.12,0.54,36.45,9.75,71.904,-1.172,25.95,0,0.0,NORMAL,True,9818701540,254795304963.0,67670491013.68,9013568013.72,0.918,9818701540,254795304963.0,6.892,0.104,28.267,3.765,35.892,0.235,0.91,0.235,0.905,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00241,2021-03-02 16:08:14,27.85,28.5,28.8,27.7,28.45,37667662,1060341576.0,0.28,False,1972-07-06,2000,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,3.866,28.149,-7.347,0.862,30.15,10.8,30.15,0.068,27.95,0,0.0,NORMAL,True,13455640542,374739589094.7,17061752207.256,-13455640.542,-0.001,13455640542,374739589094.7,1.268,0.018,-27850.0,21.963,1160.416,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00268,2021-03-02 16:08:13,27.6,30.0,30.1,27.4,28.75,31657971,891558535.0,0.913,False,2005-07-20,1000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0224,205000.0,60.0,9.391,28.162,-17.192,0.856,39.5,8.098,39.5,0.0516348,27.6,0,0.0,NORMAL,True,3467587571,95705416959.6,6460115644.773,412642920.949,0.119,3467587571,95705416959.6,1.863,0.005,231.932,14.814,2509.09,0.012,0.04,0.012,0.043,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00285,2021-03-02 16:08:14,44.4,46.0,47.4,43.8,44.8,9971765,453158827.0,0.443,False,2007-12-20,500,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.0247,230000.0,60.0,8.036,45.444,26.372,0.674,63.1,10.32223,63.1,0.61979,44.55,0,0.0,NORMAL,True,2253204500,100042279800.0,21707372153.0,1748486692.0,0.776,2253204500,100042279800.0,9.634,0.178,57.216,4.608,25.769,0.078,0.18,0.078,0.175,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00288,2021-03-02 16:08:13,6.89,7.0,7.09,6.86,6.86,52003441,362230201.0,0.353,False,2014-08-05,500,0.01,,N/A,N/A,N/A,N/A,False,,,True,1.0648,336000.0,60.0,3.353,6.965,-2.565,0.679,7.755,5.605,9.435,2.52,6.88,0,0.0,NORMAL,True,14745520786,101596638215.54,70070714775.072,11354051005.22,0.77,14745520786,101596638215.54,4.752,0.134,8.948,1.449,10.799,0.315,4.57,0.315,4.571,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00341,2021-03-02 16:08:14,17.04,16.98,17.26,16.8,16.96,1040960,17711262.0,0.178,False,1986-07-16,2000,0.02,,N/A,N/A,N/A,N/A,False,,,True,1.1368,28000.0,60.0,2.712,17.014,14.62,0.62,18.3,12.5,25.96,-11.1735,17.04,0,0.0,NORMAL,True,585704033,9980396722.32,2828950479.39,73798708.158,0.126,585704033,9980396722.32,4.83,0.03,135.238,3.527,115.918,0.1,0.59,0.19,1.115,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00345,2021-03-02 16:08:14,33.15,34.3,34.3,32.95,34.3,1970315,65627705.0,0.185,False,1994-03-30,2000,0.05,,N/A,N/A,N/A,N/A,False,,,True,1.1743,12000.0,60.0,3.936,33.308,-10.413,0.839,36.6,22.678,46.51,-4.640666,33.1,0,0.0,NORMAL,True,1065151500,35309772225.0,3644948433.0,535771204.5,0.503,1065151500,35309772225.0,3.422,0.184,65.904,9.687,52.369,0.322,0.97,0.322,0.971,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00347,2021-03-02 16:08:14,3.64,3.88,3.88,3.62,3.79,13977400,51515204.0,0.99,False,1997-07-24,2000,0.01,,N/A,N/A,N/A,N/A,False,,,True,1.0917,202000.0,60.0,6.86,3.685,15.552,0.533,3.88,1.708,28.784989,-0.0654615,3.63,0,0.0,NORMAL,True,9405250201,34235110731.64,61491525814.138,1965697292.009,0.209,1411540000,5138005600.0,6.538,0.024,17.416,0.556,22.75,0.062,1.7,0.062,1.703,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00388,2021-03-02 16:08:14,487.6,497.0,509.0,480.0,489.6,11416451,5638041209.0,0.9,False,2000-06-27,100,0.2,,N/A,N/A,N/A,N/A,False,,,False,,,,5.923,493.852,-13.779,0.567,587.0,202.29,587.0,-66.2,486.4,0,0.0,NORMAL,True,1267836895,618197270002.0,48918218756.68,11505619822.125,9.075,1267836895,618197270002.0,38.584,0.235,53.73,12.637,53.73,6.684,1.37,6.666,1.367,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00669,2021-03-02 16:08:12,126.2,124.0,127.5,124.0,121.8,5379013,677300065.0,0.293,False,1990-12-17,500,0.1,,N/A,N/A,N/A,N/A,False,,,True,6.0545,9000.0,60.0,2.874,125.915,18.445,1.187,132.0,40.99,132.0,-5.88575,126.9,0,0.0,NORMAL,True,1832820441,231301939654.2,27802053269.529,4778162889.687,2.607,1832820441,231301939654.2,15.169,0.184,48.408,8.319,45.023,1.109,0.88,1.029,0.815,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00700,2021-03-02 16:08:13,698.0,712.0,722.0,692.5,697.0,23080003,16311046904.0,0.241,False,2004-06-16,100,0.5,,N/A,N/A,N/A,N/A,False,,,True,0.9186,1437300.0,60.0,4.232,706.717,17.011,0.736,775.5,324.0,775.5,-4.781,699.5,0,0.0,NORMAL,True,9594524331,6696977983038.0,675608025291.696,103006813217.616,10.736,9594524331,6696977983038.0,70.416,0.202,65.014,9.912,48.975,1.195,0.17,1.195,0.171,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HK.00772,2021-03-02 16:08:12,72.8,78.3,78.6,72.05,75.85,2157476,160203319.0,0.212,False,2017-11-08,200,0.05,,N/A,N/A,N/A,N/A,False,,,False,,,,8.635,74.254,41.352,0.547,95.75,25.95,110.0,22.95,72.5,0,0.0,NORMAL,True,1015781716,73948908924.8,18269849943.976,1214874932.336,1.196,1015781716,73948908924.8,17.986,-0.157,60.869,4.047,-25.624,0.0,0.0,0.0,0.0,False,,,,,,,,,,,,,,,,,,,,,,,False,,,,,,,,,,,,,,,,,,,False,,,,False,,,,False,,,,,,False,,,,,,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
