,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-99.20289198275977,0.0,0.3817427385892116,241,0.0331950207468879,3.0,1.0,1.0,BB,,
1,1,-98.68313064274248,0.0,0.3888888888888889,216,0.0277777777777777,3.0,1.0,1.2,BB,,
2,2,-85.5769291073822,0.0,0.2439024390243902,82,0.0609756097560975,3.0,1.0,1.4,BB,,
3,3,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.0,1.6,BB,,
4,4,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.0,1.7999999999999998,BB,,
5,5,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.0,2.0,BB,,
6,6,-99.20289198275977,0.0,0.3817427385892116,241,0.0331950207468879,3.0,1.2,1.0,BB,,
7,7,-98.68313064274248,0.0,0.3888888888888889,216,0.0277777777777777,3.0,1.2,1.2,BB,,
8,8,-85.5769291073822,0.0,0.2439024390243902,82,0.0609756097560975,3.0,1.2,1.4,BB,,
9,9,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.2,1.6,BB,,
10,10,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.2,1.7999999999999998,BB,,
11,11,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.2,2.0,BB,,
12,12,-99.20289198275977,0.0,0.3817427385892116,241,0.0331950207468879,3.0,1.4,1.0,BB,,
13,13,-98.68313064274248,0.0,0.3888888888888889,216,0.0277777777777777,3.0,1.4,1.2,BB,,
14,14,-85.5769291073822,0.0,0.2439024390243902,82,0.0609756097560975,3.0,1.4,1.4,BB,,
15,15,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.4,1.6,BB,,
16,16,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.4,1.7999999999999998,BB,,
17,17,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.4,2.0,BB,,
18,18,-99.20289198275977,0.0,0.3817427385892116,241,0.0331950207468879,3.0,1.6,1.0,BB,,
19,19,-98.68313064274248,0.0,0.3888888888888889,216,0.0277777777777777,3.0,1.6,1.2,BB,,
20,20,-85.5769291073822,0.0,0.2439024390243902,82,0.0609756097560975,3.0,1.6,1.4,BB,,
21,21,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.6,1.6,BB,,
22,22,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.6,1.7999999999999998,BB,,
23,23,-2.9684279582892104,0.0,0.2857142857142857,7,0.1428571428571428,3.0,1.6,2.0,BB,,
24,24,-99.20289198275977,0.0,0.3817427385892116,241,0.0331950207468879,3.0,1.7999999999999998,1.0,BB,,
25,25,-98.68313064274248,0.0,0.3888888888888889,216,0.0277777777777777,3.0,1.7999999999999998,1.2,BB,,
