,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-24.15345974941162,0.0,0.6060606060606061,33,0.1515151515151515,3.0,1.0,1.0,BB,,
1,1,-25.985721142037622,0.0,0.5517241379310345,29,0.1724137931034483,3.0,1.0,1.2,BB,,
2,2,-14.200830704903822,0.0,0.3636363636363636,11,0.1818181818181818,3.0,1.0,1.4,BB,,
3,3,0.0,0.0,0.0,0,0.0,3.0,1.0,1.6,BB,,
4,4,0.0,0.0,0.0,0,0.0,3.0,1.0,1.7999999999999998,BB,,
5,5,0.0,0.0,0.0,0,0.0,3.0,1.0,2.0,BB,,
6,6,-24.15345974941162,0.0,0.6060606060606061,33,0.1515151515151515,3.0,1.2,1.0,BB,,
7,7,-25.985721142037622,0.0,0.5517241379310345,29,0.1724137931034483,3.0,1.2,1.2,BB,,
8,8,-14.200830704903822,0.0,0.3636363636363636,11,0.1818181818181818,3.0,1.2,1.4,BB,,
9,9,0.0,0.0,0.0,0,0.0,3.0,1.2,1.6,BB,,
10,10,0.0,0.0,0.0,0,0.0,3.0,1.2,1.7999999999999998,BB,,
11,11,0.0,0.0,0.0,0,0.0,3.0,1.2,2.0,BB,,
12,12,-24.15345974941162,0.0,0.6060606060606061,33,0.1515151515151515,3.0,1.4,1.0,BB,,
13,13,-25.985721142037622,0.0,0.5517241379310345,29,0.1724137931034483,3.0,1.4,1.2,BB,,
14,14,-14.200830704903822,0.0,0.3636363636363636,11,0.1818181818181818,3.0,1.4,1.4,BB,,
15,15,0.0,0.0,0.0,0,0.0,3.0,1.4,1.6,BB,,
16,16,0.0,0.0,0.0,0,0.0,3.0,1.4,1.7999999999999998,BB,,
17,17,0.0,0.0,0.0,0,0.0,3.0,1.4,2.0,BB,,
18,18,-24.15345974941162,0.0,0.6060606060606061,33,0.1515151515151515,3.0,1.6,1.0,BB,,
19,19,-25.985721142037622,0.0,0.5517241379310345,29,0.1724137931034483,3.0,1.6,1.2,BB,,
20,20,-14.200830704903822,0.0,0.3636363636363636,11,0.1818181818181818,3.0,1.6,1.4,BB,,
21,21,0.0,0.0,0.0,0,0.0,3.0,1.6,1.6,BB,,
22,22,0.0,0.0,0.0,0,0.0,3.0,1.6,1.7999999999999998,BB,,
23,23,0.0,0.0,0.0,0,0.0,3.0,1.6,2.0,BB,,
24,24,-24.15345974941162,0.0,0.6060606060606061,33,0.1515151515151515,3.0,1.7999999999999998,1.0,BB,,
25,25,-25.985721142037622,0.0,0.5517241379310345,29,0.1724137931034483,3.0,1.7999999999999998,1.2,BB,,
26,26,-14.200830704903822,0.0,0.3636363636363636,11,0.1818181818181818,3.0,1.7999999999999998,1.4,BB,,
27,27,0.0,0.0,0.0,0,0.0,3.0,1.7999999999999998,1.6,BB,,
28,28,0.0,0.0,0.0,0,0.0,3.0,1.7999999999999998,1.7999999999999998,BB,,
29,29,0.0,0.0,0.0,0,0.0,3.0,1.7999999999999998,2.0,BB,,
30,30,-24.15345974941162,0.0,0.6060606060606061,33,0.1515151515151515,3.0,2.0,1.0,BB,,
31,31,-25.985721142037622,0.0,0.5517241379310345,29,0.1724137931034483,3.0,2.0,1.2,BB,,
32,32,-14.200830704903822,0.0,0.3636363636363636,11,0.1818181818181818,3.0,2.0,1.4,BB,,
33,33,0.0,0.0,0.0,0,0.0,3.0,2.0,1.6,BB,,
34,34,0.0,0.0,0.0,0,0.0,3.0,2.0,1.7999999999999998,BB,,
35,35,0.0,0.0,0.0,0,0.0,3.0,2.0,2.0,BB,,
36,36,-13.242859156646048,0.0,0.6153846153846154,26,0.0769230769230769,4.0,1.0,1.0,BB,,
37,37,-11.399944867970024,0.0,0.6,25,0.08,4.0,1.0,1.2,BB,,
38,38,-20.88373784673372,0.0,0.4705882352941176,17,0.1176470588235294,4.0,1.0,1.4,BB,,
39,39,0.0376239783341114,0.0,0.5333333333333333,15,0.1333333333333333,4.0,1.0,1.6,BB,,
40,40,0.0,0.0,0.0,0,0.0,4.0,1.0,1.7999999999999998,BB,,
41,41,0.0,0.0,0.0,0,0.0,4.0,1.0,2.0,BB,,
42,42,-13.242859156646048,0.0,0.6153846153846154,26,0.0769230769230769,4.0,1.2,1.0,BB,,
43,43,-11.399944867970024,0.0,0.6,25,0.08,4.0,1.2,1.2,BB,,
44,44,-20.88373784673372,0.0,0.4705882352941176,17,0.1176470588235294,4.0,1.2,1.4,BB,,
45,45,0.0376239783341114,0.0,0.5333333333333333,15,0.1333333333333333,4.0,1.2,1.6,BB,,
46,46,0.0,0.0,0.0,0,0.0,4.0,1.2,1.7999999999999998,BB,,
47,47,0.0,0.0,0.0,0,0.0,4.0,1.2,2.0,BB,,
48,48,-13.242859156646048,0.0,0.6153846153846154,26,0.0769230769230769,4.0,1.4,1.0,BB,,
49,49,-11.399944867970024,0.0,0.6,25,0.08,4.0,1.4,1.2,BB,,
50,50,-20.88373784673372,0.0,0.4705882352941176,17,0.1176470588235294,4.0,1.4,1.4,BB,,
51,51,0.0376239783341114,0.0,0.5333333333333333,15,0.1333333333333333,4.0,1.4,1.6,BB,,
52,52,0.0,0.0,0.0,0,0.0,4.0,1.4,1.7999999999999998,BB,,
53,53,0.0,0.0,0.0,0,0.0,4.0,1.4,2.0,BB,,
54,54,-13.242859156646048,0.0,0.6153846153846154,26,0.0769230769230769,4.0,1.6,1.0,BB,,
55,55,-11.399944867970024,0.0,0.6,25,0.08,4.0,1.6,1.2,BB,,
56,56,-20.88373784673372,0.0,0.4705882352941176,17,0.1176470588235294,4.0,1.6,1.4,BB,,
57,57,0.0376239783341114,0.0,0.5333333333333333,15,0.1333333333333333,4.0,1.6,1.6,BB,,
58,58,0.0,0.0,0.0,0,0.0,4.0,1.6,1.7999999999999998,BB,,
59,59,0.0,0.0,0.0,0,0.0,4.0,1.6,2.0,BB,,
60,60,-13.242859156646048,0.0,0.6153846153846154,26,0.0769230769230769,4.0,1.7999999999999998,1.0,BB,,
61,61,-11.399944867970024,0.0,0.6,25,0.08,4.0,1.7999999999999998,1.2,BB,,
62,62,-20.88373784673372,0.0,0.4705882352941176,17,0.1176470588235294,4.0,1.7999999999999998,1.4,BB,,
63,63,0.0376239783341114,0.0,0.5333333333333333,15,0.1333333333333333,4.0,1.7999999999999998,1.6,BB,,
64,64,0.0,0.0,0.0,0,0.0,4.0,1.7999999999999998,1.7999999999999998,BB,,
65,65,0.0,0.0,0.0,0,0.0,4.0,1.7999999999999998,2.0,BB,,
66,66,-13.242859156646048,0.0,0.6153846153846154,26,0.0769230769230769,4.0,2.0,1.0,BB,,
67,67,-11.399944867970024,0.0,0.6,25,0.08,4.0,2.0,1.2,BB,,
68,68,-20.88373784673372,0.0,0.4705882352941176,17,0.1176470588235294,4.0,2.0,1.4,BB,,
69,69,0.0376239783341114,0.0,0.5333333333333333,15,0.1333333333333333,4.0,2.0,1.6,BB,,
70,70,0.0,0.0,0.0,0,0.0,4.0,2.0,1.7999999999999998,BB,,
