,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-94.39479063576124,0.0,0.4141791044776119,268,0.0074626865671641,3.0,1.0,1.0,BB,,
1,1,-93.61190640353846,0.0,0.4070796460176991,226,0.0088495575221238,3.0,1.0,1.2,BB,,
2,2,-71.22480104683665,0.0,0.4320987654320987,81,0.0246913580246913,3.0,1.0,1.4,BB,,
3,3,7.219837346229863,0.0,0.8,5,0.2,3.0,1.0,1.6,BB,,
4,4,7.219837346229863,0.0,0.8,5,0.2,3.0,1.0,1.7999999999999998,BB,,
5,5,7.219837346229863,0.0,0.8,5,0.2,3.0,1.0,2.0,BB,,
6,6,-94.39479063576124,0.0,0.4141791044776119,268,0.0074626865671641,3.0,1.2,1.0,BB,,
7,7,-93.61190640353846,0.0,0.4070796460176991,226,0.0088495575221238,3.0,1.2,1.2,BB,,
8,8,-71.22480104683665,0.0,0.4320987654320987,81,0.0246913580246913,3.0,1.2,1.4,BB,,
9,9,7.219837346229863,0.0,0.8,5,0.2,3.0,1.2,1.6,BB,,
10,10,7.219837346229863,0.0,0.8,5,0.2,3.0,1.2,1.7999999999999998,BB,,
11,11,7.219837346229863,0.0,0.8,5,0.2,3.0,1.2,2.0,BB,,
12,12,-94.39479063576124,0.0,0.4141791044776119,268,0.0074626865671641,3.0,1.4,1.0,BB,,
13,13,-93.61190640353846,0.0,0.4070796460176991,226,0.0088495575221238,3.0,1.4,1.2,BB,,
14,14,-71.22480104683665,0.0,0.4320987654320987,81,0.0246913580246913,3.0,1.4,1.4,BB,,
15,15,7.219837346229863,0.0,0.8,5,0.2,3.0,1.4,1.6,BB,,
16,16,7.219837346229863,0.0,0.8,5,0.2,3.0,1.4,1.7999999999999998,BB,,
17,17,7.219837346229863,0.0,0.8,5,0.2,3.0,1.4,2.0,BB,,
18,18,-94.39479063576124,0.0,0.4141791044776119,268,0.0074626865671641,3.0,1.6,1.0,BB,,
19,19,-93.61190640353846,0.0,0.4070796460176991,226,0.0088495575221238,3.0,1.6,1.2,BB,,
20,20,-71.22480104683665,0.0,0.4320987654320987,81,0.0246913580246913,3.0,1.6,1.4,BB,,
21,21,7.219837346229863,0.0,0.8,5,0.2,3.0,1.6,1.6,BB,,
22,22,7.219837346229863,0.0,0.8,5,0.2,3.0,1.6,1.7999999999999998,BB,,
23,23,7.219837346229863,0.0,0.8,5,0.2,3.0,1.6,2.0,BB,,
24,24,-94.39479063576124,0.0,0.4141791044776119,268,0.0074626865671641,3.0,1.7999999999999998,1.0,BB,,
25,25,-93.61190640353846,0.0,0.4070796460176991,226,0.0088495575221238,3.0,1.7999999999999998,1.2,BB,,
26,26,-71.22480104683665,0.0,0.4320987654320987,81,0.0246913580246913,3.0,1.7999999999999998,1.4,BB,,
27,27,7.219837346229863,0.0,0.8,5,0.2,3.0,1.7999999999999998,1.6,BB,,
28,28,7.219837346229863,0.0,0.8,5,0.2,3.0,1.7999999999999998,1.7999999999999998,BB,,
29,29,7.219837346229863,0.0,0.8,5,0.2,3.0,1.7999999999999998,2.0,BB,,
30,30,-94.39479063576124,0.0,0.4141791044776119,268,0.0074626865671641,3.0,2.0,1.0,BB,,
31,31,-93.61190640353846,0.0,0.4070796460176991,226,0.0088495575221238,3.0,2.0,1.2,BB,,
