,Unnamed: 0,Return,Return60,Hit Rate,Trade Time,Holding Period,Method Condition0,Method Condition1,Method Condition2,Tech Method,Method Condition3,Method Condition4
0,0,-87.10408328637509,0.0,0.314516129032258,124,0.0080645161290322,3.0,1.0,1.0,BB,,
1,1,-85.77706881710662,0.0,0.3063063063063063,111,0.009009009009009,3.0,1.0,1.2,BB,,
2,2,-68.38419554232836,0.0,0.3055555555555556,72,0.0277777777777777,3.0,1.0,1.4,BB,,
3,3,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.0,1.6,BB,,
4,4,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.0,1.7999999999999998,BB,,
5,5,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.0,2.0,BB,,
6,6,-87.10408328637509,0.0,0.314516129032258,124,0.0080645161290322,3.0,1.2,1.0,BB,,
7,7,-85.77706881710662,0.0,0.3063063063063063,111,0.009009009009009,3.0,1.2,1.2,BB,,
8,8,-68.38419554232836,0.0,0.3055555555555556,72,0.0277777777777777,3.0,1.2,1.4,BB,,
9,9,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.2,1.6,BB,,
10,10,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.2,1.7999999999999998,BB,,
11,11,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.2,2.0,BB,,
12,12,-87.10408328637509,0.0,0.314516129032258,124,0.0080645161290322,3.0,1.4,1.0,BB,,
13,13,-85.77706881710662,0.0,0.3063063063063063,111,0.009009009009009,3.0,1.4,1.2,BB,,
14,14,-68.38419554232836,0.0,0.3055555555555556,72,0.0277777777777777,3.0,1.4,1.4,BB,,
15,15,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.4,1.6,BB,,
16,16,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.4,1.7999999999999998,BB,,
17,17,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.4,2.0,BB,,
18,18,-87.10408328637509,0.0,0.314516129032258,124,0.0080645161290322,3.0,1.6,1.0,BB,,
19,19,-85.77706881710662,0.0,0.3063063063063063,111,0.009009009009009,3.0,1.6,1.2,BB,,
20,20,-68.38419554232836,0.0,0.3055555555555556,72,0.0277777777777777,3.0,1.6,1.4,BB,,
21,21,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.6,1.6,BB,,
22,22,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.6,1.7999999999999998,BB,,
23,23,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.6,2.0,BB,,
24,24,-87.10408328637509,0.0,0.314516129032258,124,0.0080645161290322,3.0,1.7999999999999998,1.0,BB,,
25,25,-85.77706881710662,0.0,0.3063063063063063,111,0.009009009009009,3.0,1.7999999999999998,1.2,BB,,
26,26,-68.38419554232836,0.0,0.3055555555555556,72,0.0277777777777777,3.0,1.7999999999999998,1.4,BB,,
27,27,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.7999999999999998,1.6,BB,,
28,28,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.7999999999999998,1.7999999999999998,BB,,
29,29,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,1.7999999999999998,2.0,BB,,
30,30,-87.10408328637509,0.0,0.314516129032258,124,0.0080645161290322,3.0,2.0,1.0,BB,,
31,31,-85.77706881710662,0.0,0.3063063063063063,111,0.009009009009009,3.0,2.0,1.2,BB,,
32,32,-68.38419554232836,0.0,0.3055555555555556,72,0.0277777777777777,3.0,2.0,1.4,BB,,
33,33,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,2.0,1.6,BB,,
34,34,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,2.0,1.7999999999999998,BB,,
35,35,-20.207591109979678,0.0,0.4285714285714285,28,0.0714285714285714,3.0,2.0,2.0,BB,,
36,36,-80.35312126817273,0.0,0.3396226415094339,106,0.0188679245283018,4.0,1.0,1.0,BB,,
37,37,-80.42992003303037,0.0,0.3033707865168539,89,0.0112359550561797,4.0,1.0,1.2,BB,,
38,38,-71.83390251626308,0.0,0.3670886075949367,79,0.0126582278481012,4.0,1.0,1.4,BB,,
39,39,-59.24830606192959,0.0,0.3773584905660377,53,0.0188679245283018,4.0,1.0,1.6,BB,,
40,40,2.9695205279484105,0.0,0.6363636363636364,11,0.1818181818181818,4.0,1.0,1.7999999999999998,BB,,
41,41,2.9695205279484105,0.0,0.6363636363636364,11,0.1818181818181818,4.0,1.0,2.0,BB,,
42,42,-80.35312126817273,0.0,0.3396226415094339,106,0.0188679245283018,4.0,1.2,1.0,BB,,
43,43,-80.42992003303037,0.0,0.3033707865168539,89,0.0112359550561797,4.0,1.2,1.2,BB,,
